symbol,earnings_date_et,earnings_time,source_name,source_url_or_file_name,source_published_at_utc,known_at_utc,revision_status,source_calendar_coverage_start_date_et,source_calendar_coverage_end_date_et
JNJ,2024-04-16,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040624000031/jnj-20240416.htm,2024-04-16T11:06:41Z,2024-04-16T11:06:41Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2024-05-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040624000048/jnj-20240501.htm,2024-05-01T11:00:25Z,2024-05-01T11:00:25Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2024-07-17,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040624000071/jnj-20240717.htm,2024-07-17T12:14:26Z,2024-07-17T12:14:26Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2021-10-26,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947821000213/lly-20211026.htm,2021-10-26T11:06:35Z,2021-10-26T11:06:35Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2021-12-15,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000119312521357380/d212746d8k.htm,2021-12-15T12:05:57Z,2021-12-15T12:05:57Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2022-02-03,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947822000016/lly-20220203.htm,2022-02-03T12:08:37Z,2022-02-03T12:08:37Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2022-04-14,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947822000117/lly-20220414.htm,2022-04-14T20:57:23Z,2022-04-14T20:57:23Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2022-04-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947822000130/lly-20220428.htm,2022-04-28T11:05:27Z,2022-04-28T11:05:27Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2022-08-04,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947822000194/lly-20220804.htm,2022-08-04T11:05:33Z,2022-08-04T11:05:33Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2022-11-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947822000248/lly-20221101.htm,2022-11-01T11:03:47Z,2022-11-01T11:03:47Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
